instancia,exp_name,modo_carga,cant_carga,path,cant_max,tiempo_carga,tiempo_max,palabra,apariciones
exp_cant_palabras_1000,palabras_dif_max,1,7,exp_cant_palabras_1000,1,0.0014174047333333,0.0001839065999999,aa,15
exp_cant_palabras_1000,palabras_dif_max,1,7,exp_cant_palabras_1000,2,0.0014517146666666,0.0001522377999999,aa,15
exp_cant_palabras_1000,palabras_dif_max,1,7,exp_cant_palabras_1000,3,0.001462442,0.0001379540666666,aa,15
exp_cant_palabras_1000,palabras_dif_max,1,7,exp_cant_palabras_1000,4,0.0013662793333333,0.0001404997333333,aa,15
exp_cant_palabras_2000,palabras_dif_max,1,7,exp_cant_palabras_2000,1,0.0025873146666666,0.0002406288,aa,26
exp_cant_palabras_2000,palabras_dif_max,1,7,exp_cant_palabras_2000,2,0.0023217833333333,0.0001588394666666,aa,26
exp_cant_palabras_2000,palabras_dif_max,1,7,exp_cant_palabras_2000,3,0.0024092553333333,0.0001421100666666,aa,26
exp_cant_palabras_2000,palabras_dif_max,1,7,exp_cant_palabras_2000,4,0.0025027066666666,0.0001516947333333,aa,26
exp_cant_palabras_3000,palabras_dif_max,1,7,exp_cant_palabras_3000,1,0.0033608953333333,0.0002512334,aa,38
exp_cant_palabras_3000,palabras_dif_max,1,7,exp_cant_palabras_3000,2,0.0033629813333333,0.0001612140666666,aa,38
exp_cant_palabras_3000,palabras_dif_max,1,7,exp_cant_palabras_3000,3,0.0032735333333333,0.0001489789333333,aa,38
exp_cant_palabras_3000,palabras_dif_max,1,7,exp_cant_palabras_3000,4,0.0034507719999999,0.0001452631333333,aa,38
exp_cant_palabras_4000,palabras_dif_max,1,7,exp_cant_palabras_4000,1,0.0040322899999999,0.0002451833333333,aa,50
exp_cant_palabras_4000,palabras_dif_max,1,7,exp_cant_palabras_4000,2,0.004195706,0.0001646926666666,aa,50
exp_cant_palabras_4000,palabras_dif_max,1,7,exp_cant_palabras_4000,3,0.0041876286666666,0.0001370731333333,aa,50
exp_cant_palabras_4000,palabras_dif_max,1,7,exp_cant_palabras_4000,4,0.0039734286666666,0.0001315101333333,aa,50
exp_cant_palabras_5000,palabras_dif_max,1,7,exp_cant_palabras_5000,1,0.0046642426666666,0.0002554891333333,aa,61
exp_cant_palabras_5000,palabras_dif_max,1,7,exp_cant_palabras_5000,2,0.0048275153333333,0.0001788409999999,aa,61
exp_cant_palabras_5000,palabras_dif_max,1,7,exp_cant_palabras_5000,3,0.004657796,0.0001450809333333,aa,61
exp_cant_palabras_5000,palabras_dif_max,1,7,exp_cant_palabras_5000,4,0.0047708573333333,0.0001256711333333,aa,61
exp_cant_palabras_6000,palabras_dif_max,1,7,exp_cant_palabras_6000,1,0.00549088,0.0002292787333333,aa,72
exp_cant_palabras_6000,palabras_dif_max,1,7,exp_cant_palabras_6000,2,0.0051136113333333,0.0001511510666666,aa,72
exp_cant_palabras_6000,palabras_dif_max,1,7,exp_cant_palabras_6000,3,0.0052995946666666,0.0001463635333333,aa,72
exp_cant_palabras_6000,palabras_dif_max,1,7,exp_cant_palabras_6000,4,0.0055378259999999,0.0001367505999999,aa,72
exp_cant_palabras_7000,palabras_dif_max,1,7,exp_cant_palabras_7000,1,0.006147906,0.0002240368666666,aa,82
exp_cant_palabras_7000,palabras_dif_max,1,7,exp_cant_palabras_7000,2,0.0057341033333333,0.0001529830666666,aa,82
exp_cant_palabras_7000,palabras_dif_max,1,7,exp_cant_palabras_7000,3,0.0059856826666666,0.0001407026666666,aa,82
exp_cant_palabras_7000,palabras_dif_max,1,7,exp_cant_palabras_7000,4,0.0057630219999999,0.0001217904666666,aa,82
exp_cant_palabras_8000,palabras_dif_max,1,7,exp_cant_palabras_8000,1,0.0067529953333333,0.0002308572,aa,96
exp_cant_palabras_8000,palabras_dif_max,1,7,exp_cant_palabras_8000,2,0.0069857473333333,0.0001730027333333,aa,96
exp_cant_palabras_8000,palabras_dif_max,1,7,exp_cant_palabras_8000,3,0.0067851853333333,0.0001329997999999,aa,96
exp_cant_palabras_8000,palabras_dif_max,1,7,exp_cant_palabras_8000,4,0.006545904,0.0001271298666666,aa,96
exp_cant_palabras_9000,palabras_dif_max,1,7,exp_cant_palabras_9000,1,0.0077491726666666,0.0002154819999999,aa,105
exp_cant_palabras_9000,palabras_dif_max,1,7,exp_cant_palabras_9000,2,0.0073984886666666,0.0001514008,aa,105
exp_cant_palabras_9000,palabras_dif_max,1,7,exp_cant_palabras_9000,3,0.007525592,0.0001372776666666,aa,105
exp_cant_palabras_9000,palabras_dif_max,1,7,exp_cant_palabras_9000,4,0.0073338766666666,0.0001285104,aa,105
exp_cant_palabras_10000,palabras_dif_max,1,7,exp_cant_palabras_10000,1,0.0083253713333333,0.0002215747333333,aa,117
exp_cant_palabras_10000,palabras_dif_max,1,7,exp_cant_palabras_10000,2,0.0080147946666666,0.0001633440666666,aa,117
