instancia,cant_palabras,palabra_max,cant_max
exp_cant_palabras_9000_1,9000, aa bb cc dd ee ff gg hh ii jj kk ll mm nn oo pp,35
exp_cant_palabras_9000_2,9000, aa aab bc bcd ce cef dg dgh ei eij fk fkl gm gmn ho hop,18
exp_cant_palabras_9000_3,9000, aa aab aabc bd bde bdef cg cgh cghi dj djk djkl em emn emno fp fpq fpqr gs gst gstu hv hvw hvwx iy iyz iyza jb jbc jbcd ke kef kefg lh lhi lhij mk mkl mklm nn nno nnop,12
exp_cant_palabras_9000_4,9000, aa aab aabc aabcd be bef befg befgh ci cij cijk cijkl dm dmn dmno dmnop eq eqr eqrs eqrst fu fuv fuvw fuvwx gy gyz gyza gyzab hc hcd hcde hcdef ig igh ighi ighij jk jkl jklm jklmn ko kop kopq kopqr ls lst lstu lstuv mw mwx mwxy mwxyz na nab nabc nabcd oe oef oefg oefgh pi pij pijk pijkl qm qmn qmno qmnop,9
exp_cant_palabras_9000_5,9000, aa aab aabc aabcd aabcde bf bfg bfgh bfghi bfghij ck ckl cklm cklmn cklmno dp dpq dpqr dpqrs dpqrst eu euv euvw euvwx euvwxy fz fza fzab fzabc fzabcd ge gef gefg gefgh gefghi hj hjk hjkl hjklm hjklmn io iop iopq iopqr iopqrs jt jtu jtuv jtuvw jtuvwx ky kyz kyza kyzab kyzabc ld lde ldef ldefg ldefgh mi mij mijk mijkl mijklm nn nno nnop nnopq nnopqr os ost ostu ostuv ostuvw px pxy pxyz pxyza pxyzab qc qcd qcde qcdef qcdefg rh rhi rhij rhijk rhijkl sm smn smno smnop smnopq tr trs trst trstu trstuv uw uwx uwxy uwxyz uwxyza vb vbc vbcd vbcde vbcdef wg wgh wghi wghij wghijk xl xlm xlmn xlmno xlmnop,7
exp_cant_palabras_9000_6,9000, aa aab aabc aabcd aabcde aabcdef bg bgh bghi bghij bghijk bghijkl cm cmn cmno cmnop cmnopq cmnopqr ds dst dstu dstuv dstuvw dstuvwx ey eyz eyza eyzab eyzabc eyzabcd fe fef fefg fefgh fefghi fefghij gk gkl gklm gklmn gklmno gklmnop hq hqr hqrs hqrst hqrstu hqrstuv iw iwx iwxy iwxyz iwxyza iwxyzab jc jcd jcde jcdef jcdefg jcdefgh ki kij kijk kijkl kijklm kijklmn lo lop lopq lopqr lopqrs lopqrst mu muv muvw muvwx muvwxy muvwxyz na nab nabc nabcd nabcde nabcdef og ogh oghi oghij oghijk oghijkl pm pmn pmno pmnop pmnopq pmnopqr qs qst qstu qstuv qstuvw qstuvwx ry ryz ryza ryzab ryzabc ryzabcd se sef sefg sefgh sefghi sefghij tk tkl tklm tklmn tklmno tklmnop,6
exp_cant_palabras_9000_7,9000, aa aab aabc aabcd aabcde aabcdef aabcdefg bh bhi bhij bhijk bhijkl bhijklm bhijklmn co cop copq copqr copqrs copqrst copqrstu dv dvw dvwx dvwxy dvwxyz dvwxyza dvwxyzab ec ecd ecde ecdef ecdefg ecdefgh ecdefghi fj fjk fjkl fjklm fjklmn fjklmno fjklmnop gq gqr gqrs gqrst gqrstu gqrstuv gqrstuvw hx hxy hxyz hxyza hxyzab hxyzabc hxyzabcd ie ief iefg iefgh iefghi iefghij iefghijk jl jlm jlmn jlmno jlmnop jlmnopq jlmnopqr ks kst kstu kstuv kstuvw kstuvwx kstuvwxy lz lza lzab lzabc lzabcd lzabcde lzabcdef mg mgh mghi mghij mghijk mghijkl mghijklm nn nno nnop nnopq nnopqr nnopqrs nnopqrst ou ouv ouvw ouvwx ouvwxy ouvwxyz ouvwxyza pb pbc pbcd pbcde pbcdef pbcdefg pbcdefgh qi qij qijk qijkl qijklm qijklmn qijklmno rp rpq rpqr rpqrs rpqrst rpqrstu rpqrstuv sw swx swxy swxyz swxyza swxyzab swxyzabc td tde tdef tdefg tdefgh tdefghi tdefghij uk ukl uklm uklmn uklmno uklmnop uklmnopq vr vrs vrst vrstu vrstuv vrstuvw vrstuvwx wy wyz wyza wyzab wyzabc wyzabcd wyzabcde xf xfg xfgh xfghi xfghij xfghijk xfghijkl ym ymn ymno ymnop ymnopq ymnopqr ymnopqrs,5
exp_cant_palabras_9000_8,9000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh bi bij bijk bijkl bijklm bijklmn bijklmno bijklmnop cq cqr cqrs cqrst cqrstu cqrstuv cqrstuvw cqrstuvwx dy dyz dyza dyzab dyzabc dyzabcd dyzabcde dyzabcdef eg egh eghi eghij eghijk eghijkl eghijklm eghijklmn fo fop fopq fopqr fopqrs fopqrst fopqrstu fopqrstuv gw gwx gwxy gwxyz gwxyza gwxyzab gwxyzabc gwxyzabcd he hef hefg hefgh hefghi hefghij hefghijk hefghijkl im imn imno imnop imnopq imnopqr imnopqrs imnopqrst,5
exp_cant_palabras_9000_9,9000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi bj bjk bjkl bjklm bjklmn bjklmno bjklmnop bjklmnopq bjklmnopqr cs cst cstu cstuv cstuvw cstuvwx cstuvwxy cstuvwxyz cstuvwxyza db dbc dbcd dbcde dbcdef dbcdefg dbcdefgh dbcdefghi dbcdefghij ek ekl eklm eklmn eklmno eklmnop eklmnopq eklmnopqr eklmnopqrs ft ftu ftuv ftuvw ftuvwx ftuvwxy ftuvwxyz ftuvwxyza ftuvwxyzab gc gcd gcde gcdef gcdefg gcdefgh gcdefghi gcdefghij gcdefghijk hl hlm hlmn hlmno hlmnop hlmnopq hlmnopqr hlmnopqrs hlmnopqrst iu iuv iuvw iuvwx iuvwxy iuvwxyz iuvwxyza iuvwxyzab iuvwxyzabc jd jde jdef jdefg jdefgh jdefghi jdefghij jdefghijk jdefghijkl km kmn kmno kmnop kmnopq kmnopqr kmnopqrs kmnopqrst kmnopqrstu lv lvw lvwx lvwxy lvwxyz lvwxyza lvwxyzab lvwxyzabc lvwxyzabcd me mef mefg mefgh mefghi mefghij mefghijk mefghijkl mefghijklm nn nno nnop nnopq nnopqr nnopqrs nnopqrst nnopqrstu nnopqrstuv ow owx owxy owxyz owxyza owxyzab owxyzabc owxyzabcd owxyzabcde pf pfg pfgh pfghi pfghij pfghijk pfghijkl pfghijklm pfghijklmn qo qop qopq qopqr qopqrs qopqrst qopqrstu qopqrstuv qopqrstuvw rx rxy rxyz rxyza rxyzab rxyzabc rxyzabcd rxyzabcde rxyzabcdef sg sgh sghi sghij sghijk sghijkl sghijklm sghijklmn sghijklmno tp tpq tpqr tpqrs tpqrst tpqrstu tpqrstuv tpqrstuvw tpqrstuvwx uy uyz uyza uyzab uyzabc uyzabcd uyzabcde uyzabcdef uyzabcdefg vh vhi vhij vhijk vhijkl vhijklm vhijklmn vhijklmno vhijklmnop,4
exp_cant_palabras_9000_10,9000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi aabcdefghij bk bkl bklm bklmn bklmno bklmnop bklmnopq bklmnopqr bklmnopqrs bklmnopqrst cu cuv cuvw cuvwx cuvwxy cuvwxyz cuvwxyza cuvwxyzab cuvwxyzabc cuvwxyzabcd de def defg defgh defghi defghij defghijk defghijkl defghijklm defghijklmn eo eop eopq eopqr eopqrs eopqrst eopqrstu eopqrstuv eopqrstuvw eopqrstuvwx fy fyz fyza fyzab fyzabc fyzabcd fyzabcde fyzabcdef fyzabcdefg fyzabcdefgh gi gij gijk gijkl gijklm gijklmn gijklmno gijklmnop gijklmnopq gijklmnopqr hs hst hstu hstuv hstuvw hstuvwx hstuvwxy hstuvwxyz hstuvwxyza hstuvwxyzab ic icd icde icdef icdefg icdefgh icdefghi icdefghij icdefghijk icdefghijkl jm jmn jmno jmnop jmnopq jmnopqr jmnopqrs jmnopqrst jmnopqrstu jmnopqrstuv kw kwx kwxy kwxyz kwxyza kwxyzab kwxyzabc kwxyzabcd kwxyzabcde kwxyzabcdef lg lgh lghi lghij lghijk lghijkl lghijklm lghijklmn lghijklmno lghijklmnop,4
exp_cant_palabras_9000_10,9000, aa,105
