instancia,cant_palabras,palabra_max,cant_max
exp_distribucion_3_1,5200, cnb cgl,3
exp_distribucion_3_2,5200, dwu,4
exp_distribucion_3_3,5200, dov,3
exp_distribucion_3_4,5200, fkr,3
exp_distribucion_3_5,5200, gvi evz gcm gnh enw fml gnj gsi euu gpp ffp gfpa emf gar fty ekz foi gdg emj gec,2
exp_distribucion_3_6,5200, htj hea gkv hlz hab fsu ftt gze heh hwj gwi glm hsk ffq fte hok fgx,2
exp_distribucion_3_7,5200, gik gcd gmk hpb hih izo gau hed hfk ikr hev inj gcz hwn igk iic hwt hvu ipx hpd hbn,2
exp_distribucion_3_8,5200, izv ibm jdv hvj hqg jsp iei hek jrk iha hnv invb ilu ihf hdg jjc hww,2
exp_distribucion_3_9,5200, isl,4
exp_distribucion_3_10,5200, joi jug kjh lng jxs jit kph lsv lqp jqz lds jvw jtm ktmu kxu jhv kbq,2
exp_distribucion_3_11,5200, mkn kka lkau kth lwk mfv lsg kcu kow ltg mng kwp,2
exp_distribucion_3_12,5200, nrk,3
exp_distribucion_3_13,5200, orf ngf mvn ozh mdv ogj oor ogx mol osa old mgk mlk msw ojv ont ojb nth nnl mhh mrm ojn,2
exp_distribucion_3_14,5200, npi nvu nin omu osw psd pop pod oqa oui nvw nbp ngz,2
exp_distribucion_3_15,5200, qhh,3
exp_distribucion_3_16,5200, rab rzb plm pvh qri pli prp pki qjr rjrg qam rib qqh poj pni pci ray rhu rwp,2
exp_distribucion_3_17,5200, rue,3
exp_distribucion_3_18,5200, twe skb tti tjl tsx rxh tek smx sfv smq tjd rbw,2
exp_distribucion_3_19,5200, tpa,3
exp_distribucion_3_20,5200, tnz usk vskn vnz trh ugt usl vslm tno tbk vid uif vyw,2
exp_distribucion_3_21,5200, veb,3
exp_distribucion_3_22,5200, wzl,3
exp_distribucion_3_23,5200, ynw yfv wfvc ycp xtm wiw wpt xas xyp xrp yqx xag xvb xfe wbr xnr wag wqv ybw,2
exp_distribucion_3_24,5200, zsu yfv,3
exp_distribucion_3_25,5200, zfa yqt avu yev yao yzc amv yfc ytq aqn zpo axc yyq zbb,2
exp_distribucion_3_26,5200, api aoq,3
exp_distribucion_3_26,5200, dwu yfv,5
