instancia,cant_palabras,palabra_max,cant_max
exp_cant_palabras_8000_1,8000, aa bb cc dd ee ff gg hh ii jj kk ll mm nn oo pp qq rr ss tt,31
exp_cant_palabras_8000_2,8000, aa aab bc bcd ce cef dg dgh ei eij fk fkl gm gmn ho hop iq iqr js jst,16
exp_cant_palabras_8000_3,8000, aa aab aabc bd bde bdef cg cgh cghi dj djk djkl em emn emno fp fpq fpqr gs gst gstu,11
exp_cant_palabras_8000_4,8000, aa aab aabc aabcd be bef befg befgh ci cij cijk cijkl dm dmn dmno dmnop eq eqr eqrs eqrst fu fuv fuvw fuvwx gy gyz gyza gyzab hc hcd hcde hcdef ig igh ighi ighij jk jkl jklm jklmn ko kop kopq kopqr ls lst lstu lstuv mw mwx mwxy mwxyz na nab nabc nabcd oe oef oefg oefgh pi pij pijk pijkl qm qmn qmno qmnop rq rqr rqrs rqrst,8
exp_cant_palabras_8000_5,8000, aa aab aabc aabcd aabcde bf bfg bfgh bfghi bfghij ck ckl cklm cklmn cklmno dp dpq dpqr dpqrs dpqrst,7
exp_cant_palabras_8000_6,8000, aa aab aabc aabcd aabcde aabcdef bg bgh bghi bghij bghijk bghijkl cm cmn cmno cmnop cmnopq cmnopqr ds dst dstu dstuv dstuvw dstuvwx,6
exp_cant_palabras_8000_7,8000, aa aab aabc aabcd aabcde aabcdef aabcdefg bh bhi bhij bhijk bhijkl bhijklm bhijklmn co cop copq copqr copqrs copqrst copqrstu dv dvw dvwx dvwxy dvwxyz dvwxyza dvwxyzab ec ecd ecde ecdef ecdefg ecdefgh ecdefghi fj fjk fjkl fjklm fjklmn fjklmno fjklmnop gq gqr gqrs gqrst gqrstu gqrstuv gqrstuvw hx hxy hxyz hxyza hxyzab hxyzabc hxyzabcd ie ief iefg iefgh iefghi iefghij iefghijk jl jlm jlmn jlmno jlmnop jlmnopq jlmnopqr ks kst kstu kstuv kstuvw kstuvwx kstuvwxy,5
exp_cant_palabras_8000_8,8000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh bi bij bijk bijkl bijklm bijklmn bijklmno bijklmnop cq cqr cqrs cqrst cqrstu cqrstuv cqrstuvw cqrstuvwx dy dyz dyza dyzab dyzabc dyzabcd dyzabcde dyzabcdef eg egh eghi eghij eghijk eghijkl eghijklm eghijklmn fo fop fopq fopqr fopqrs fopqrst fopqrstu fopqrstuv gw gwx gwxy gwxyz gwxyza gwxyzab gwxyzabc gwxyzabcd he hef hefg hefgh hefghi hefghij hefghijk hefghijkl im imn imno imnop imnopq imnopqr imnopqrs imnopqrst ju juv juvw juvwx juvwxy juvwxyz juvwxyza juvwxyzab kc kcd kcde kcdef kcdefg kcdefgh kcdefghi kcdefghij lk lkl lklm lklmn lklmno lklmnop lklmnopq lklmnopqr ms mst mstu mstuv mstuvw mstuvwx mstuvwxy mstuvwxyz na nab nabc nabcd nabcde nabcdef nabcdefg nabcdefgh oi oij oijk oijkl oijklm oijklmn oijklmno oijklmnop pq pqr pqrs pqrst pqrstu pqrstuv pqrstuvw pqrstuvwx qy qyz qyza qyzab qyzabc qyzabcd qyzabcde qyzabcdef rg rgh rghi rghij rghijk rghijkl rghijklm rghijklmn so sop sopq sopqr sopqrs sopqrst sopqrstu sopqrstuv tw twx twxy twxyz twxyza twxyzab twxyzabc twxyzabcd ue uef uefg uefgh uefghi uefghij uefghijk uefghijkl vm vmn vmno vmnop vmnopq vmnopqr vmnopqrs vmnopqrst,4
exp_cant_palabras_8000_9,8000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi bj bjk bjkl bjklm bjklmn bjklmno bjklmnop bjklmnopq bjklmnopqr cs cst cstu cstuv cstuvw cstuvwx cstuvwxy cstuvwxyz cstuvwxyza db dbc dbcd dbcde dbcdef dbcdefg dbcdefgh dbcdefghi dbcdefghij ek ekl eklm eklmn eklmno eklmnop eklmnopq eklmnopqr eklmnopqrs ft ftu ftuv ftuvw ftuvwx ftuvwxy ftuvwxyz ftuvwxyza ftuvwxyzab gc gcd gcde gcdef gcdefg gcdefgh gcdefghi gcdefghij gcdefghijk hl hlm hlmn hlmno hlmnop hlmnopq hlmnopqr hlmnopqrs hlmnopqrst iu iuv iuvw iuvwx iuvwxy iuvwxyz iuvwxyza iuvwxyzab iuvwxyzabc jd jde jdef jdefg jdefgh jdefghi jdefghij jdefghijk jdefghijkl km kmn kmno kmnop kmnopq kmnopqr kmnopqrs kmnopqrst kmnopqrstu,4
exp_cant_palabras_8000_10,8000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi aabcdefghij bk bkl bklm bklmn bklmno bklmnop bklmnopq bklmnopqr bklmnopqrs bklmnopqrst,4
exp_cant_palabras_8000_10,8000, aa,96
