instancia,cant_palabras,palabra_max,cant_max
exp_distribucion_4_1,5200, cyw cqk daz drp cmr cpm ann bie crn adi ckc,2
exp_distribucion_4_2,5200, dho ebs czq ecx efu clp buj,2
exp_distribucion_4_3,5200, ckj,3
exp_distribucion_4_4,5200, fgb,3
exp_distribucion_4_5,5200, hfv,3
exp_distribucion_4_6,5200, hpi fcm hif gyk hqr itx fgt fuk izm ffg,2
exp_distribucion_4_7,5200, jwm hts gwa iaa ipr jbq gbk ihf hph hge jcj,2
exp_distribucion_4_8,5200, hfo jbc ilb hdj jts iji iop jopw jyj hab,2
exp_distribucion_4_9,5200, ihd,3
exp_distribucion_4_10,5200, kbi mkk kbe kno khl jlp kmq mhq lax mgh kld,2
exp_distribucion_4_11,5200, ndv kre lbx kgh nkl lvc noh nzn msl ksb nrq kib lcn kcm lcmm mxh nhn,2
exp_distribucion_4_12,5200, ldr oui lyk ojq ljqu nlf olfi mlv neq olr lsr,2
exp_distribucion_4_13,5200, nfv mon okj mqt pkj mwv nwvn nan phg mbt mof pdr nkm,2
exp_distribucion_4_14,5200, qao orl,3
exp_distribucion_4_15,5200, rwt owi qmj ogt oov oft pjn rkq rmt ogj pvu rph,2
exp_distribucion_4_16,5200, sfd saf qpi ppw ssi rtd qpw pku rfn swk,2
exp_distribucion_4_17,5200, qgp qgo qif qpa siw qnn rie qik row tgb rxc qzv rad sho,2
exp_distribucion_4_18,5200, ubd sdf sgc uqb sfm tnh ult roh sohw rcq tgm tfh ude tlr,2
exp_distribucion_4_19,5200, sbg ult,3
exp_distribucion_4_20,5200, vfw vuk wbk wll ujf tuz wqr,2
exp_distribucion_4_21,5200, utz uvr vdr uji vpv wvl xus wza vhi uma vwu,2
exp_distribucion_4_22,5200, wxb,3
exp_distribucion_4_23,5200, wmy ypk wko yue yor xjj xfa ywo zsq zjf waf zjz,2
exp_distribucion_4_24,5200, aej zql ykl amh zbl adv ayn ash znh ywt yrq zei zdq yjr zew xzp xhg ywf,2
exp_distribucion_4_25,5200, akq yby ytp bgq yms zrh aus bfp bpf zpl ysy yrq aci boe ajc,2
exp_distribucion_4_26,5200, zlh,3
exp_distribucion_4_26,5200, ckj ult yrq,5
