instancia,cant_palabras,palabra_max,cant_max
exp_cant_palabras_3000_1,3000, aa bb cc dd ee ff gg hh ii jj kk ll mm nn,12
exp_cant_palabras_3000_2,3000, aa aab bc bcd ce cef dg dgh ei eij fk fkl gm gmn ho hop iq iqr js jst ku kuv lw lwx my myz na nab oc ocd pe pef qg qgh ri rij sk skl tm tmn,6
exp_cant_palabras_3000_3,3000, aa aab aabc bd bde bdef cg cgh cghi dj djk djkl em emn emno fp fpq fpqr gs gst gstu hv hvw hvwx iy iyz iyza jb jbc jbcd ke kef kefg lh lhi lhij mk mkl mklm nn nno nnop oq oqr oqrs pt ptu ptuv qw qwx qwxy rz rza rzab sc scd scde tf tfg tfgh ui uij uijk vl vlm vlmn,4
exp_cant_palabras_3000_4,3000, aa aab aabc aabcd be bef befg befgh ci cij cijk cijkl dm dmn dmno dmnop eq eqr eqrs eqrst fu fuv fuvw fuvwx gy gyz gyza gyzab hc hcd hcde hcdef ig igh ighi ighij jk jkl jklm jklmn ko kop kopq kopqr ls lst lstu lstuv mw mwx mwxy mwxyz na nab nabc nabcd oe oef oefg oefgh pi pij pijk pijkl qm qmn qmno qmnop rq rqr rqrs rqrst su suv suvw suvwx ty tyz tyza tyzab uc ucd ucde ucdef vg vgh vghi vghij wk wkl wklm wklmn,3
exp_cant_palabras_3000_5,3000, aa aab aabc aabcd aabcde bf bfg bfgh bfghi bfghij ck ckl cklm cklmn cklmno dp dpq dpqr dpqrs dpqrst eu euv euvw euvwx euvwxy fz fza fzab fzabc fzabcd ge gef gefg gefgh gefghi hj hjk hjkl hjklm hjklmn,3
exp_cant_palabras_3000_6,3000, aa aab aabc aabcd aabcde aabcdef bg bgh bghi bghij bghijk bghijkl cm cmn cmno cmnop cmnopq cmnopqr ds dst dstu dstuv dstuvw dstuvwx ey eyz eyza eyzab eyzabc eyzabcd fe fef fefg fefgh fefghi fefghij gk gkl gklm gklmn gklmno gklmnop hq hqr hqrs hqrst hqrstu hqrstuv iw iwx iwxy iwxyz iwxyza iwxyzab jc jcd jcde jcdef jcdefg jcdefgh ki kij kijk kijkl kijklm kijklmn lo lop lopq lopqr lopqrs lopqrst mu muv muvw muvwx muvwxy muvwxyz na nab nabc nabcd nabcde nabcdef og ogh oghi oghij oghijk oghijkl pm pmn pmno pmnop pmnopq pmnopqr qs qst qstu qstuv qstuvw qstuvwx ry ryz ryza ryzab ryzabc ryzabcd se sef sefg sefgh sefghi sefghij tk tkl tklm tklmn tklmno tklmnop uq uqr uqrs uqrst uqrstu uqrstuv vw vwx vwxy vwxyz vwxyza vwxyzab wc wcd wcde wcdef wcdefg wcdefgh xi xij xijk xijkl xijklm xijklmn,2
exp_cant_palabras_3000_7,3000, aa aab aabc aabcd aabcde aabcdef aabcdefg bh bhi bhij bhijk bhijkl bhijklm bhijklmn co cop copq copqr copqrs copqrst copqrstu dv dvw dvwx dvwxy dvwxyz dvwxyza dvwxyzab ec ecd ecde ecdef ecdefg ecdefgh ecdefghi fj fjk fjkl fjklm fjklmn fjklmno fjklmnop gq gqr gqrs gqrst gqrstu gqrstuv gqrstuvw hx hxy hxyz hxyza hxyzab hxyzabc hxyzabcd ie ief iefg iefgh iefghi iefghij iefghijk jl jlm jlmn jlmno jlmnop jlmnopq jlmnopqr ks kst kstu kstuv kstuvw kstuvwx kstuvwxy lz lza lzab lzabc lzabcd lzabcde lzabcdef mg mgh mghi mghij mghijk mghijkl mghijklm nn nno nnop nnopq nnopqr nnopqrs nnopqrst ou ouv ouvw ouvwx ouvwxy ouvwxyz ouvwxyza pb pbc pbcd pbcde pbcdef pbcdefg pbcdefgh qi qij qijk qijkl qijklm qijklmn qijklmno,2
exp_cant_palabras_3000_8,3000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh bi bij bijk bijkl bijklm bijklmn bijklmno bijklmnop cq cqr cqrs cqrst cqrstu cqrstuv cqrstuvw cqrstuvwx dy dyz dyza dyzab dyzabc dyzabcd dyzabcde dyzabcdef eg egh eghi eghij eghijk eghijkl eghijklm eghijklmn fo fop fopq fopqr fopqrs fopqrst fopqrstu fopqrstuv gw gwx gwxy gwxyz gwxyza gwxyzab gwxyzabc gwxyzabcd he hef hefg hefgh hefghi hefghij hefghijk hefghijkl im imn imno imnop imnopq imnopqr imnopqrs imnopqrst ju juv juvw juvwx juvwxy juvwxyz juvwxyza juvwxyzab kc kcd kcde kcdef kcdefg kcdefgh kcdefghi kcdefghij lk lkl lklm lklmn lklmno lklmnop lklmnopq lklmnopqr,2
exp_cant_palabras_3000_9,3000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi bj bjk bjkl bjklm bjklmn bjklmno bjklmnop bjklmnopq bjklmnopqr cs cst cstu cstuv cstuvw cstuvwx cstuvwxy cstuvwxyz cstuvwxyza db dbc dbcd dbcde dbcdef dbcdefg dbcdefgh dbcdefghi dbcdefghij ek ekl eklm eklmn eklmno eklmnop eklmnopq eklmnopqr eklmnopqrs ft ftu ftuv ftuvw ftuvwx ftuvwxy ftuvwxyz ftuvwxyza ftuvwxyzab gc gcd gcde gcdef gcdefg gcdefgh gcdefghi gcdefghij gcdefghijk hl hlm hlmn hlmno hlmnop hlmnopq hlmnopqr hlmnopqrs hlmnopqrst,2
exp_cant_palabras_3000_10,3000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi aabcdefghij bk bkl bklm bklmn bklmno bklmnop bklmnopq bklmnopqr bklmnopqrs bklmnopqrst cu cuv cuvw cuvwx cuvwxy cuvwxyz cuvwxyza cuvwxyzab cuvwxyzabc cuvwxyzabcd de def defg defgh defghi defghij defghijk defghijkl defghijklm defghijklmn,2
exp_cant_palabras_3000_10,3000, aa,38
