instancia,cant_palabras,palabra_max,cant_max
exp_cant_palabras_10000_1,10000, aa bb cc dd ee ff gg hh ii jj kk ll,39
exp_cant_palabras_10000_2,10000, aa aab bc bcd ce cef dg dgh ei eij fk fkl,20
exp_cant_palabras_10000_3,10000, aa aab aabc bd bde bdef cg cgh cghi dj djk djkl em emn emno fp fpq fpqr gs gst gstu hv hvw hvwx iy iyz iyza jb jbc jbcd ke kef kefg lh lhi lhij mk mkl mklm nn nno nnop oq oqr oqrs pt ptu ptuv qw qwx qwxy rz rza rzab sc scd scde tf tfg tfgh ui uij uijk vl vlm vlmn,13
exp_cant_palabras_10000_4,10000, aa aab aabc aabcd be bef befg befgh ci cij cijk cijkl dm dmn dmno dmnop eq eqr eqrs eqrst fu fuv fuvw fuvwx gy gyz gyza gyzab hc hcd hcde hcdef ig igh ighi ighij jk jkl jklm jklmn ko kop kopq kopqr ls lst lstu lstuv mw mwx mwxy mwxyz na nab nabc nabcd oe oef oefg oefgh pi pij pijk pijkl,10
exp_cant_palabras_10000_5,10000, aa aab aabc aabcd aabcde bf bfg bfgh bfghi bfghij ck ckl cklm cklmn cklmno dp dpq dpqr dpqrs dpqrst eu euv euvw euvwx euvwxy fz fza fzab fzabc fzabcd ge gef gefg gefgh gefghi hj hjk hjkl hjklm hjklmn io iop iopq iopqr iopqrs jt jtu jtuv jtuvw jtuvwx ky kyz kyza kyzab kyzabc ld lde ldef ldefg ldefgh mi mij mijk mijkl mijklm nn nno nnop nnopq nnopqr os ost ostu ostuv ostuvw px pxy pxyz pxyza pxyzab qc qcd qcde qcdef qcdefg rh rhi rhij rhijk rhijkl,8
exp_cant_palabras_10000_6,10000, aa aab aabc aabcd aabcde aabcdef bg bgh bghi bghij bghijk bghijkl cm cmn cmno cmnop cmnopq cmnopqr ds dst dstu dstuv dstuvw dstuvwx ey eyz eyza eyzab eyzabc eyzabcd fe fef fefg fefgh fefghi fefghij gk gkl gklm gklmn gklmno gklmnop hq hqr hqrs hqrst hqrstu hqrstuv iw iwx iwxy iwxyz iwxyza iwxyzab jc jcd jcde jcdef jcdefg jcdefgh ki kij kijk kijkl kijklm kijklmn,7
exp_cant_palabras_10000_7,10000, aa aab aabc aabcd aabcde aabcdef aabcdefg bh bhi bhij bhijk bhijkl bhijklm bhijklmn co cop copq copqr copqrs copqrst copqrstu dv dvw dvwx dvwxy dvwxyz dvwxyza dvwxyzab ec ecd ecde ecdef ecdefg ecdefgh ecdefghi fj fjk fjkl fjklm fjklmn fjklmno fjklmnop gq gqr gqrs gqrst gqrstu gqrstuv gqrstuvw hx hxy hxyz hxyza hxyzab hxyzabc hxyzabcd ie ief iefg iefgh iefghi iefghij iefghijk jl jlm jlmn jlmno jlmnop jlmnopq jlmnopqr ks kst kstu kstuv kstuvw kstuvwx kstuvwxy lz lza lzab lzabc lzabcd lzabcde lzabcdef mg mgh mghi mghij mghijk mghijkl mghijklm,6
exp_cant_palabras_10000_8,10000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh bi bij bijk bijkl bijklm bijklmn bijklmno bijklmnop cq cqr cqrs cqrst cqrstu cqrstuv cqrstuvw cqrstuvwx dy dyz dyza dyzab dyzabc dyzabcd dyzabcde dyzabcdef eg egh eghi eghij eghijk eghijkl eghijklm eghijklmn fo fop fopq fopqr fopqrs fopqrst fopqrstu fopqrstuv gw gwx gwxy gwxyz gwxyza gwxyzab gwxyzabc gwxyzabcd he hef hefg hefgh hefghi hefghij hefghijk hefghijkl im imn imno imnop imnopq imnopqr imnopqrs imnopqrst ju juv juvw juvwx juvwxy juvwxyz juvwxyza juvwxyzab kc kcd kcde kcdef kcdefg kcdefgh kcdefghi kcdefghij lk lkl lklm lklmn lklmno lklmnop lklmnopq lklmnopqr ms mst mstu mstuv mstuvw mstuvwx mstuvwxy mstuvwxyz na nab nabc nabcd nabcde nabcdef nabcdefg nabcdefgh oi oij oijk oijkl oijklm oijklmn oijklmno oijklmnop pq pqr pqrs pqrst pqrstu pqrstuv pqrstuvw pqrstuvwx qy qyz qyza qyzab qyzabc qyzabcd qyzabcde qyzabcdef rg rgh rghi rghij rghijk rghijkl rghijklm rghijklmn so sop sopq sopqr sopqrs sopqrst sopqrstu sopqrstuv tw twx twxy twxyz twxyza twxyzab twxyzabc twxyzabcd ue uef uefg uefgh uefghi uefghij uefghijk uefghijkl,5
exp_cant_palabras_10000_9,10000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi bj bjk bjkl bjklm bjklmn bjklmno bjklmnop bjklmnopq bjklmnopqr cs cst cstu cstuv cstuvw cstuvwx cstuvwxy cstuvwxyz cstuvwxyza db dbc dbcd dbcde dbcdef dbcdefg dbcdefgh dbcdefghi dbcdefghij ek ekl eklm eklmn eklmno eklmnop eklmnopq eklmnopqr eklmnopqrs ft ftu ftuv ftuvw ftuvwx ftuvwxy ftuvwxyz ftuvwxyza ftuvwxyzab gc gcd gcde gcdef gcdefg gcdefgh gcdefghi gcdefghij gcdefghijk hl hlm hlmn hlmno hlmnop hlmnopq hlmnopqr hlmnopqrs hlmnopqrst,5
exp_cant_palabras_10000_10,10000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi aabcdefghij bk bkl bklm bklmn bklmno bklmnop bklmnopq bklmnopqr bklmnopqrs bklmnopqrst cu cuv cuvw cuvwx cuvwxy cuvwxyz cuvwxyza cuvwxyzab cuvwxyzabc cuvwxyzabcd de def defg defgh defghi defghij defghijk defghijkl defghijklm defghijklmn eo eop eopq eopqr eopqrs eopqrst eopqrstu eopqrstuv eopqrstuvw eopqrstuvwx fy fyz fyza fyzab fyzabc fyzabcd fyzabcde fyzabcdef fyzabcdefg fyzabcdefgh gi gij gijk gijkl gijklm gijklmn gijklmno gijklmnop gijklmnopq gijklmnopqr hs hst hstu hstuv hstuvw hstuvwx hstuvwxy hstuvwxyz hstuvwxyza hstuvwxyzab ic icd icde icdef icdefg icdefgh icdefghi icdefghij icdefghijk icdefghijkl jm jmn jmno jmnop jmnopq jmnopqr jmnopqrs jmnopqrst jmnopqrstu jmnopqrstuv kw kwx kwxy kwxyz kwxyza kwxyzab kwxyzabc kwxyzabcd kwxyzabcde kwxyzabcdef lg lgh lghi lghij lghijk lghijkl lghijklm lghijklmn lghijklmno lghijklmnop mq mqr mqrs mqrst mqrstu mqrstuv mqrstuvw mqrstuvwx mqrstuvwxy mqrstuvwxyz na nab nabc nabcd nabcde nabcdef nabcdefg nabcdefgh nabcdefghi nabcdefghij ok okl oklm oklmn oklmno oklmnop oklmnopq oklmnopqr oklmnopqrs oklmnopqrst pu puv puvw puvwx puvwxy puvwxyz puvwxyza puvwxyzab puvwxyzabc puvwxyzabcd qe qef qefg qefgh qefghi qefghij qefghijk qefghijkl qefghijklm qefghijklmn ro rop ropq ropqr ropqrs ropqrst ropqrstu ropqrstuv ropqrstuvw ropqrstuvwx sy syz syza syzab syzabc syzabcd syzabcde syzabcdef syzabcdefg syzabcdefgh ti tij tijk tijkl tijklm tijklmn tijklmno tijklmnop tijklmnopq tijklmnopqr us ust ustu ustuv ustuvw ustuvwx ustuvwxy ustuvwxyz ustuvwxyza ustuvwxyzab vc vcd vcde vcdef vcdefg vcdefgh vcdefghi vcdefghij vcdefghijk vcdefghijkl,4
